Offer,Terms and Conditions,Eligible Credit Cards,Eligible Debit Cards
7.5% Instant Discount up to INR 1500 Instant Discount on IDFC FIRST Bank Credit Card EMI Trxn. Minimum purchase value INR 10000,"Promotion Terms
FAQs

1.What is the offer?

Get 7.5% instant bank discount on IDFC FIRST Bank Credit Card EMI on purchase of select products from 1st November to 20th November 2025. Please check Product Page to confirm the offer eligibility.

2.How can I avail this offer?

Just go through the normal purchase shopping process. On the payment page, please select your saved IDFC FIRST Bank Credit Card and check whether the transaction is eligible for EMI or not. If yes, please select the desired tenure and proceed. Check product page first to confirm if product is eligible for the instant bank discount on EMI.

3.What is the minimum transaction size for the instant discount?

The minimum transaction amount to avail discount is Rs. 10,000.

4.What is the maximum discount that I can avail?

The maximum discount per card across Amazon.in Site and App is Rs. 4,000. Please refer table.

Categories

Minimum order value

Maximum Discount

Credit Card EMI Trxns

Mobiles

Rs 10,000

Rs 1,000

Other categories*

Rs 10,000

Rs 1,500

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990 on 9Months and above tenures

Additional Flat Rs 1000 Instant Discount on Credit Card EMI on transaction worth Rs 49,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 49,990 on 9Months and above tenures

*TV, Consumer Electronics, Media, Home Kitchen, Fashion, Toys and Furniture

5.What if I cancel/return the product?

Offer is not applicable if the order is cancelled, or product is returned.

6.Can I avail discount on card payment for cash on delivery order? Are net Banking transactions also included in this Offer?

Net Banking and Card Payment on COD transactions are NOT included in this Offer.

7. Would I get the Discount offer even if I make a part payment using my Amazon Pay Balance?

No, instant bank discount is not applicable if part payment is made using Amazon Pay Balance.

8.Can I get this offer even with Exchange?

Yes, you can avail this offer even if the transaction involves exchange of an old product but the transaction value after exchange should be greater than Rs. 10,000.

9.My payment failed while placing the order, will I be eligible for the discount?

If your payment failed while placing the order, Amazon.in gives you an option to revise your payment. If you revise your payment within the offer duration, you will be eligible for the cashback. For more information on revise payment, click here

Schedule 1

Offer Terms and Conditions

This ""Offer"" is provided to you by IDFC First bank Limited(""Bank"") and Amazon Pay (India) Private Limited (formerly known as Amazon Online Distribution Services Private Limited) (""Amazon"") and made available on the website www.amazon.in and the mobile site and mobile application thereof (collectively, ""Amazon.in"").
These Offer terms and conditions (""Offer Terms"") are in addition to the Amazon.in Conditions of Use & Sale and Privacy Notice to which you agree to by using Amazon.in and Terms & Conditions of IDFC FIRST Bank Credit Cards. In the event of any conflict between the Conditions of Use & Sale and these Offer Terms, these Offer Terms will prevail, only for the purposes of this Offer.
All residents of India holding IDFC FIRST Bank Credit Card issued by the Bank (each a ""Card"") are eligible to avail the Offer (each a ""Cardholder"").
The Offer is valid from 1st November to 20th November 2025 (collectively ""Offer Period""), unless revoked or extended by Amazon (in its sole discretion), without any prior notice and without any liability.
Under this Offer, any Cardholder who, during the Offer Period, makes a transaction of INR 10,000 or above using his/her IDFC FIRST Bank Credit Card (""Card""), on www.amazon.in or the mobile application/mobile site thereof (collectively, ""Amazon.in""), irrespective of the number of transactions (?Offer?), and by availing the equated monthly installments (Instant EMI) facility (provided on the Card by the Bank), will be entitled to receive 7.5% instant discount of the list price of the Product (as determined by the relevant seller). Cardholders need to check the offer eligibility on the Product Page.
Categories

Minimum order value

Maximum Discount

Credit Card EMI Trxns

Mobiles

Rs 10,000

Rs 1,000

Other categories*

Rs 10,000

Rs 1,500

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990 on 9Months and above tenures

Additional Flat Rs 1000 Instant Discount on Credit Card EMI on transaction worth Rs 49,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 49,990 on 9Months and above tenures

*TV, Consumer Electronics, Media, Home Kitchen, Fashion, Toys and Furniture

The maximum discount provided under this Offer will not exceed INR 4,000 on Credit Card EMI transaction.
The Offer is NOT applicable on payment made by customers using the 'Card on Delivery' payment option.
The purchase of Product by Cardholders on equated monthly instalments (Instant EMI).
This Offer will also be applicable on purchase of Products by Cardholders under an exchange offer (if available on the Product(s). For the avoidance of doubt, it is hereby clarified that the discount amount of up to INR 4,000 on Credit Card will be provided to Cardholders under this Offer on the net value paid on such transaction i.e., the price paid by Cardholders after the exchange offer has been availed, provided such value should be a minimum of INR 10,000.
This Offer can be availed / clubbed with a no-cost equated monthly installment (EMI) promotion, if any, on the Product. In other words, if no-cost EMI / interest refund promotion is being availed by the Cardholder on the Product, then the Cardholder will also be eligible for this Offer.
Bank will continue to charge interest as applicable. However, in no-cost EMI this interest charge has been provided as an upfront discount by Amazon to the Card at the time of your purchase, effectively resulting in a benefit of a 100% interest refund offer by Amazon. Applicable GST on interest charged by IDFC FIRST Bank must be borne by Cardholder in case of 100% interest refund offer provided by brands/merchants on select products.
In case there are multiple items in a purchase order, the item-wise savings/discount may vary. However, the overall savings/discount on the purchase order will be equivalent to maximum savings/discount the Cardholder is eligible for under this Offer.
This Offer will not be applicable if the Cardholder or the seller or Amazon cancel the order and/or the Cardholder returns the Product and, in such a case, participation in the Offer will be deemed withdrawn. In such a scenario, only the net amount paid by the Cardholder will be refunded.
Bank and/or Amazon do not endorse any of the products or brands being offered on Amazon.in and will not accept any liability pertaining to the quality, merchantability, fitness, delivery or after sales service of such products.
The Bank reserves the right to disqualify Cardholders from the benefits of the Offer if any fraudulent activity is identified as being carried out for the purpose of availing the benefits under the said Offer or otherwise by use of the Card.
Amazon reserves the right, at any time, without prior notice and without assigning any reason whatsoever, to add/alter/modify/change or vary any or all of these Offer Terms or to replace, wholly or in part, this Offer by another offer, whether similar to this Offer or not.
Delinquent and over-limit Bank's credit card members will not qualify for this Offer.
Cardholders are not bound in any way to participate in this Offer. Any such participation is purely voluntary. The Offer is being made purely on a best effort basis.
Nothing herein amounts to a commitment by the Bank or Amazon to conduct further, similar or other offers.
The above Offer is by way of a special offer and nothing contained herein shall prejudice or affect the terms and conditions of the card member agreement. The terms of the above schemes shall be in addition to and not in derogation of the terms contained in the card member agreement.
All disputes between Cardholders and Bank will be resolved inter se, and Amazon will not (nor will be liable or obliged to) mediate or resolve any dispute or disagreement between Cardholders and Bank.
This Offer is not valid on corporate, commercial Cards issued by the Bank.
This Offer is not applicable on Debit card transactions.
This Offer is not available on: (i) purchase of product(s) other than the Product(s), or (ii) purchase of Product using an instrument other than the one mentioned in point 5.
Under no circumstance will benefit being offered under this Offer be settled with cash in lieu by Bank or by Amazon.
By participating in this Offer, every Cardholder expressly agrees that Amazon or any of its affiliates will not be liable or responsible for any loss or damage whatsoever that a Cardholder may suffer, directly or indirectly, in connection with this Offer including but not limited to that associated with his/ her use or delivery or misuse of the Product.
These Offer Terms are governed by the laws of India and the courts at Mumbai will have exclusive jurisdiction over any disputes in relation to these Offer Terms.
Any person availing this Offer will be deemed to have accepted these Offer Terms.
Notwithstanding anything contained in these Offer Terms, this Offer is not applicable on the purchase of the following products:
Gift Card(s) (Amazon branded and Non Amazon branded)
Prepaid phone recharges, DTH recharges, Bill Payments
Kindle e-books and Kindle Unlimited Subscription Program
Amazon Pay balance loading
Amazon Prime subscription
Infant Nutrition products
Select phones (see product page for offer eligibility)
Precious Jewelry including Gold/Silver Coins.
Grocery Products
29. Some products might not be eligible for the offer. Please check the product detail page for offer eligibility.

How to avail offer
Select eligible card at the time of checkout
No promo code required to avail the offer",IDFC First Power+ Credit Card,
7.5% Instant Discount up to INR 1500 Instant Discount on IDFC FIRST Bank Credit Card EMI Trxn. Minimum purchase value INR 10000,"Promotion Terms
FAQs

1.What is the offer?

Get 7.5% instant bank discount on IDFC FIRST Bank Credit Card EMI on purchase of select products from 1st November to 20th November 2025. Please check Product Page to confirm the offer eligibility.

2.How can I avail this offer?

Just go through the normal purchase shopping process. On the payment page, please select your saved IDFC FIRST Bank Credit Card and check whether the transaction is eligible for EMI or not. If yes, please select the desired tenure and proceed. Check product page first to confirm if product is eligible for the instant bank discount on EMI.

3.What is the minimum transaction size for the instant discount?

The minimum transaction amount to avail discount is Rs. 10,000.

4.What is the maximum discount that I can avail?

The maximum discount per card across Amazon.in Site and App is Rs. 4,000. Please refer table.

Categories

Minimum order value

Maximum Discount

Credit Card EMI Trxns

Mobiles

Rs 10,000

Rs 1,000

Other categories*

Rs 10,000

Rs 1,500

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990 on 9Months and above tenures

Additional Flat Rs 1000 Instant Discount on Credit Card EMI on transaction worth Rs 49,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 49,990 on 9Months and above tenures

*TV, Consumer Electronics, Media, Home Kitchen, Fashion, Toys and Furniture

5.What if I cancel/return the product?

Offer is not applicable if the order is cancelled, or product is returned.

6.Can I avail discount on card payment for cash on delivery order? Are net Banking transactions also included in this Offer?

Net Banking and Card Payment on COD transactions are NOT included in this Offer.

7. Would I get the Discount offer even if I make a part payment using my Amazon Pay Balance?

No, instant bank discount is not applicable if part payment is made using Amazon Pay Balance.

8.Can I get this offer even with Exchange?

Yes, you can avail this offer even if the transaction involves exchange of an old product but the transaction value after exchange should be greater than Rs. 10,000.

9.My payment failed while placing the order, will I be eligible for the discount?

If your payment failed while placing the order, Amazon.in gives you an option to revise your payment. If you revise your payment within the offer duration, you will be eligible for the cashback. For more information on revise payment, click here

Schedule 1

Offer Terms and Conditions

This ""Offer"" is provided to you by IDFC First bank Limited(""Bank"") and Amazon Pay (India) Private Limited (formerly known as Amazon Online Distribution Services Private Limited) (""Amazon"") and made available on the website www.amazon.in and the mobile site and mobile application thereof (collectively, ""Amazon.in"").
These Offer terms and conditions (""Offer Terms"") are in addition to the Amazon.in Conditions of Use & Sale and Privacy Notice to which you agree to by using Amazon.in and Terms & Conditions of IDFC FIRST Bank Credit Cards. In the event of any conflict between the Conditions of Use & Sale and these Offer Terms, these Offer Terms will prevail, only for the purposes of this Offer.
All residents of India holding IDFC FIRST Bank Credit Card issued by the Bank (each a ""Card"") are eligible to avail the Offer (each a ""Cardholder"").
The Offer is valid from 1st November to 20th November 2025 (collectively ""Offer Period""), unless revoked or extended by Amazon (in its sole discretion), without any prior notice and without any liability.
Under this Offer, any Cardholder who, during the Offer Period, makes a transaction of INR 10,000 or above using his/her IDFC FIRST Bank Credit Card (""Card""), on www.amazon.in or the mobile application/mobile site thereof (collectively, ""Amazon.in""), irrespective of the number of transactions (?Offer?), and by availing the equated monthly installments (Instant EMI) facility (provided on the Card by the Bank), will be entitled to receive 7.5% instant discount of the list price of the Product (as determined by the relevant seller). Cardholders need to check the offer eligibility on the Product Page.
Categories

Minimum order value

Maximum Discount

Credit Card EMI Trxns

Mobiles

Rs 10,000

Rs 1,000

Other categories*

Rs 10,000

Rs 1,500

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990 on 9Months and above tenures

Additional Flat Rs 1000 Instant Discount on Credit Card EMI on transaction worth Rs 49,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 49,990 on 9Months and above tenures

*TV, Consumer Electronics, Media, Home Kitchen, Fashion, Toys and Furniture

The maximum discount provided under this Offer will not exceed INR 4,000 on Credit Card EMI transaction.
The Offer is NOT applicable on payment made by customers using the 'Card on Delivery' payment option.
The purchase of Product by Cardholders on equated monthly instalments (Instant EMI).
This Offer will also be applicable on purchase of Products by Cardholders under an exchange offer (if available on the Product(s). For the avoidance of doubt, it is hereby clarified that the discount amount of up to INR 4,000 on Credit Card will be provided to Cardholders under this Offer on the net value paid on such transaction i.e., the price paid by Cardholders after the exchange offer has been availed, provided such value should be a minimum of INR 10,000.
This Offer can be availed / clubbed with a no-cost equated monthly installment (EMI) promotion, if any, on the Product. In other words, if no-cost EMI / interest refund promotion is being availed by the Cardholder on the Product, then the Cardholder will also be eligible for this Offer.
Bank will continue to charge interest as applicable. However, in no-cost EMI this interest charge has been provided as an upfront discount by Amazon to the Card at the time of your purchase, effectively resulting in a benefit of a 100% interest refund offer by Amazon. Applicable GST on interest charged by IDFC FIRST Bank must be borne by Cardholder in case of 100% interest refund offer provided by brands/merchants on select products.
In case there are multiple items in a purchase order, the item-wise savings/discount may vary. However, the overall savings/discount on the purchase order will be equivalent to maximum savings/discount the Cardholder is eligible for under this Offer.
This Offer will not be applicable if the Cardholder or the seller or Amazon cancel the order and/or the Cardholder returns the Product and, in such a case, participation in the Offer will be deemed withdrawn. In such a scenario, only the net amount paid by the Cardholder will be refunded.
Bank and/or Amazon do not endorse any of the products or brands being offered on Amazon.in and will not accept any liability pertaining to the quality, merchantability, fitness, delivery or after sales service of such products.
The Bank reserves the right to disqualify Cardholders from the benefits of the Offer if any fraudulent activity is identified as being carried out for the purpose of availing the benefits under the said Offer or otherwise by use of the Card.
Amazon reserves the right, at any time, without prior notice and without assigning any reason whatsoever, to add/alter/modify/change or vary any or all of these Offer Terms or to replace, wholly or in part, this Offer by another offer, whether similar to this Offer or not.
Delinquent and over-limit Bank's credit card members will not qualify for this Offer.
Cardholders are not bound in any way to participate in this Offer. Any such participation is purely voluntary. The Offer is being made purely on a best effort basis.
Nothing herein amounts to a commitment by the Bank or Amazon to conduct further, similar or other offers.
The above Offer is by way of a special offer and nothing contained herein shall prejudice or affect the terms and conditions of the card member agreement. The terms of the above schemes shall be in addition to and not in derogation of the terms contained in the card member agreement.
All disputes between Cardholders and Bank will be resolved inter se, and Amazon will not (nor will be liable or obliged to) mediate or resolve any dispute or disagreement between Cardholders and Bank.
This Offer is not valid on corporate, commercial Cards issued by the Bank.
This Offer is not applicable on Debit card transactions.
This Offer is not available on: (i) purchase of product(s) other than the Product(s), or (ii) purchase of Product using an instrument other than the one mentioned in point 5.
Under no circumstance will benefit being offered under this Offer be settled with cash in lieu by Bank or by Amazon.
By participating in this Offer, every Cardholder expressly agrees that Amazon or any of its affiliates will not be liable or responsible for any loss or damage whatsoever that a Cardholder may suffer, directly or indirectly, in connection with this Offer including but not limited to that associated with his/ her use or delivery or misuse of the Product.
These Offer Terms are governed by the laws of India and the courts at Mumbai will have exclusive jurisdiction over any disputes in relation to these Offer Terms.
Any person availing this Offer will be deemed to have accepted these Offer Terms.
Notwithstanding anything contained in these Offer Terms, this Offer is not applicable on the purchase of the following products:
Gift Card(s) (Amazon branded and Non Amazon branded)
Prepaid phone recharges, DTH recharges, Bill Payments
Kindle e-books and Kindle Unlimited Subscription Program
Amazon Pay balance loading
Amazon Prime subscription
Infant Nutrition products
Select phones (see product page for offer eligibility)
Precious Jewelry including Gold/Silver Coins.
Grocery Products
29. Some products might not be eligible for the offer. Please check the product detail page for offer eligibility.

How to avail offer
Select eligible card at the time of checkout
No promo code required to avail the offer",IndiGo IDFC FIRST Credit Card,
7.5% Instant Discount up to INR 1500 Instant Discount on IDFC FIRST Bank Credit Card EMI Trxn. Minimum purchase value INR 10000,"Promotion Terms
FAQs

1.What is the offer?

Get 7.5% instant bank discount on IDFC FIRST Bank Credit Card EMI on purchase of select products from 1st November to 20th November 2025. Please check Product Page to confirm the offer eligibility.

2.How can I avail this offer?

Just go through the normal purchase shopping process. On the payment page, please select your saved IDFC FIRST Bank Credit Card and check whether the transaction is eligible for EMI or not. If yes, please select the desired tenure and proceed. Check product page first to confirm if product is eligible for the instant bank discount on EMI.

3.What is the minimum transaction size for the instant discount?

The minimum transaction amount to avail discount is Rs. 10,000.

4.What is the maximum discount that I can avail?

The maximum discount per card across Amazon.in Site and App is Rs. 4,000. Please refer table.

Categories

Minimum order value

Maximum Discount

Credit Card EMI Trxns

Mobiles

Rs 10,000

Rs 1,000

Other categories*

Rs 10,000

Rs 1,500

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990 on 9Months and above tenures

Additional Flat Rs 1000 Instant Discount on Credit Card EMI on transaction worth Rs 49,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 49,990 on 9Months and above tenures

*TV, Consumer Electronics, Media, Home Kitchen, Fashion, Toys and Furniture

5.What if I cancel/return the product?

Offer is not applicable if the order is cancelled, or product is returned.

6.Can I avail discount on card payment for cash on delivery order? Are net Banking transactions also included in this Offer?

Net Banking and Card Payment on COD transactions are NOT included in this Offer.

7. Would I get the Discount offer even if I make a part payment using my Amazon Pay Balance?

No, instant bank discount is not applicable if part payment is made using Amazon Pay Balance.

8.Can I get this offer even with Exchange?

Yes, you can avail this offer even if the transaction involves exchange of an old product but the transaction value after exchange should be greater than Rs. 10,000.

9.My payment failed while placing the order, will I be eligible for the discount?

If your payment failed while placing the order, Amazon.in gives you an option to revise your payment. If you revise your payment within the offer duration, you will be eligible for the cashback. For more information on revise payment, click here

Schedule 1

Offer Terms and Conditions

This ""Offer"" is provided to you by IDFC First bank Limited(""Bank"") and Amazon Pay (India) Private Limited (formerly known as Amazon Online Distribution Services Private Limited) (""Amazon"") and made available on the website www.amazon.in and the mobile site and mobile application thereof (collectively, ""Amazon.in"").
These Offer terms and conditions (""Offer Terms"") are in addition to the Amazon.in Conditions of Use & Sale and Privacy Notice to which you agree to by using Amazon.in and Terms & Conditions of IDFC FIRST Bank Credit Cards. In the event of any conflict between the Conditions of Use & Sale and these Offer Terms, these Offer Terms will prevail, only for the purposes of this Offer.
All residents of India holding IDFC FIRST Bank Credit Card issued by the Bank (each a ""Card"") are eligible to avail the Offer (each a ""Cardholder"").
The Offer is valid from 1st November to 20th November 2025 (collectively ""Offer Period""), unless revoked or extended by Amazon (in its sole discretion), without any prior notice and without any liability.
Under this Offer, any Cardholder who, during the Offer Period, makes a transaction of INR 10,000 or above using his/her IDFC FIRST Bank Credit Card (""Card""), on www.amazon.in or the mobile application/mobile site thereof (collectively, ""Amazon.in""), irrespective of the number of transactions (?Offer?), and by availing the equated monthly installments (Instant EMI) facility (provided on the Card by the Bank), will be entitled to receive 7.5% instant discount of the list price of the Product (as determined by the relevant seller). Cardholders need to check the offer eligibility on the Product Page.
Categories

Minimum order value

Maximum Discount

Credit Card EMI Trxns

Mobiles

Rs 10,000

Rs 1,000

Other categories*

Rs 10,000

Rs 1,500

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 24,990 on 9Months and above tenures

Additional Flat Rs 1000 Instant Discount on Credit Card EMI on transaction worth Rs 49,990

Additional Flat Rs 500 Instant Discount on Credit Card EMI on transaction worth Rs 49,990 on 9Months and above tenures

*TV, Consumer Electronics, Media, Home Kitchen, Fashion, Toys and Furniture

The maximum discount provided under this Offer will not exceed INR 4,000 on Credit Card EMI transaction.
The Offer is NOT applicable on payment made by customers using the 'Card on Delivery' payment option.
The purchase of Product by Cardholders on equated monthly instalments (Instant EMI).
This Offer will also be applicable on purchase of Products by Cardholders under an exchange offer (if available on the Product(s). For the avoidance of doubt, it is hereby clarified that the discount amount of up to INR 4,000 on Credit Card will be provided to Cardholders under this Offer on the net value paid on such transaction i.e., the price paid by Cardholders after the exchange offer has been availed, provided such value should be a minimum of INR 10,000.
This Offer can be availed / clubbed with a no-cost equated monthly installment (EMI) promotion, if any, on the Product. In other words, if no-cost EMI / interest refund promotion is being availed by the Cardholder on the Product, then the Cardholder will also be eligible for this Offer.
Bank will continue to charge interest as applicable. However, in no-cost EMI this interest charge has been provided as an upfront discount by Amazon to the Card at the time of your purchase, effectively resulting in a benefit of a 100% interest refund offer by Amazon. Applicable GST on interest charged by IDFC FIRST Bank must be borne by Cardholder in case of 100% interest refund offer provided by brands/merchants on select products.
In case there are multiple items in a purchase order, the item-wise savings/discount may vary. However, the overall savings/discount on the purchase order will be equivalent to maximum savings/discount the Cardholder is eligible for under this Offer.
This Offer will not be applicable if the Cardholder or the seller or Amazon cancel the order and/or the Cardholder returns the Product and, in such a case, participation in the Offer will be deemed withdrawn. In such a scenario, only the net amount paid by the Cardholder will be refunded.
Bank and/or Amazon do not endorse any of the products or brands being offered on Amazon.in and will not accept any liability pertaining to the quality, merchantability, fitness, delivery or after sales service of such products.
The Bank reserves the right to disqualify Cardholders from the benefits of the Offer if any fraudulent activity is identified as being carried out for the purpose of availing the benefits under the said Offer or otherwise by use of the Card.
Amazon reserves the right, at any time, without prior notice and without assigning any reason whatsoever, to add/alter/modify/change or vary any or all of these Offer Terms or to replace, wholly or in part, this Offer by another offer, whether similar to this Offer or not.
Delinquent and over-limit Bank's credit card members will not qualify for this Offer.
Cardholders are not bound in any way to participate in this Offer. Any such participation is purely voluntary. The Offer is being made purely on a best effort basis.
Nothing herein amounts to a commitment by the Bank or Amazon to conduct further, similar or other offers.
The above Offer is by way of a special offer and nothing contained herein shall prejudice or affect the terms and conditions of the card member agreement. The terms of the above schemes shall be in addition to and not in derogation of the terms contained in the card member agreement.
All disputes between Cardholders and Bank will be resolved inter se, and Amazon will not (nor will be liable or obliged to) mediate or resolve any dispute or disagreement between Cardholders and Bank.
This Offer is not valid on corporate, commercial Cards issued by the Bank.
This Offer is not applicable on Debit card transactions.
This Offer is not available on: (i) purchase of product(s) other than the Product(s), or (ii) purchase of Product using an instrument other than the one mentioned in point 5.
Under no circumstance will benefit being offered under this Offer be settled with cash in lieu by Bank or by Amazon.
By participating in this Offer, every Cardholder expressly agrees that Amazon or any of its affiliates will not be liable or responsible for any loss or damage whatsoever that a Cardholder may suffer, directly or indirectly, in connection with this Offer including but not limited to that associated with his/ her use or delivery or misuse of the Product.
These Offer Terms are governed by the laws of India and the courts at Mumbai will have exclusive jurisdiction over any disputes in relation to these Offer Terms.
Any person availing this Offer will be deemed to have accepted these Offer Terms.
Notwithstanding anything contained in these Offer Terms, this Offer is not applicable on the purchase of the following products:
Gift Card(s) (Amazon branded and Non Amazon branded)
Prepaid phone recharges, DTH recharges, Bill Payments
Kindle e-books and Kindle Unlimited Subscription Program
Amazon Pay balance loading
Amazon Prime subscription
Infant Nutrition products
Select phones (see product page for offer eligibility)
Precious Jewelry including Gold/Silver Coins.
Grocery Products
29. Some products might not be eligible for the offer. Please check the product detail page for offer eligibility.

How to avail offer
Select eligible card at the time of checkout
No promo code required to avail the offer",IDFC First Power Credit Card,
